id,period,year,t,corridor,src,dst,firm,firm_type,access_point,speed_band,speed_hours,transparent,network_coverage,pickup_method,payment_instrument,fee_pct_200,fx_margin_200,total_cost_200,fee_pct_500,fx_margin_500,total_cost_500
28347,2011_3Q,2011,2011.5,KENUGA,KEN,UGA,KCB,Bank,Not available,2 days,48.0,yes,Nationwide,bank account,,11.11,4.78,15.89,4.44,4.78,9.22
28930,2011_3Q,2011,2011.5,TZAKEN,TZA,KEN,KCB,Bank,Not available,Less than one hour,0.5,yes,Nationwide,,,0.0,4.69,4.69,0.0,4.69,4.69
28937,2011_3Q,2011,2011.5,TZAKEN,TZA,KEN,UBA Africash,Bank,Not available,Same day,12.0,yes,Major cities,,,3.3499999999999988,4.69,8.04,1.3399999999999999,4.69,6.03
28938,2011_3Q,2011,2011.5,TZAKEN,TZA,KEN,Western Union,Money Transfer Operator,Not available,Less than one hour,0.5,yes,Nationwide,,,5.54,4.69,10.23,4.44,4.69,9.13
28931,2011_3Q,2011,2011.5,TZAKEN,TZA,KEN,MoneyGram,Money Transfer Operator,Not available,Less than one hour,0.5,yes,Nationwide,,,6.779999999999999,6.25,13.03,4.93,6.25,11.18
28935,2011_3Q,2011,2011.5,TZAKEN,TZA,KEN,Tanzania Postal Corporation,Post office,Not available,Next day,24.0,yes,Nationwide,,,8.629999999999999,4.69,13.32,5.919999999999999,4.69,10.61
28929,2011_3Q,2011,2011.5,TZAKEN,TZA,KEN,KCB,Bank,Not available,2 days,48.0,yes,Nationwide,,,20.0,4.69,24.69,7.999999999999999,4.69,12.69
28932,2011_3Q,2011,2011.5,TZAKEN,TZA,KEN,NBC,Bank,Not available,2 days,48.0,yes,Nationwide,,,25.0,4.69,29.69,10.0,4.69,14.69
28933,2011_3Q,2011,2011.5,TZAKEN,TZA,KEN,Stanbic Bank,Bank,Not available,Next day,24.0,yes,Nationwide,,,27.5,6.25,33.75,11.0,6.25,17.25
28928,2011_3Q,2011,2011.5,TZAKEN,TZA,KEN,Exim Bank,Bank,Not available,2 days,48.0,yes,Nationwide,,,30.0,6.25,36.25,12.0,6.25,18.25
28936,2011_3Q,2011,2011.5,TZAKEN,TZA,KEN,Twiga Bancorp,Bank,Not available,Next day,24.0,yes,Nationwide,,,30.0,6.25,36.25,12.0,6.25,18.25
28934,2011_3Q,2011,2011.5,TZAKEN,TZA,KEN,Standard Chartered Bank,Bank,Not available,2 days,48.0,yes,Nationwide,,,45.0,4.69,49.69,18.0,4.69,22.69
28942,2011_3Q,2011,2011.5,TZARWA,TZA,RWA,KCB,Bank,Not available,Same day,12.0,yes,Major cities,,,0.0,4.69,4.69,0.0,4.69,4.69
28951,2011_3Q,2011,2011.5,TZARWA,TZA,RWA,UBA Africash,Bank,Not available,Same day,12.0,yes,Major cities,,,3.3499999999999988,4.69,8.04,1.3399999999999999,4.69,6.03
28952,2011_3Q,2011,2011.5,TZARWA,TZA,RWA,Western Union,Money Transfer Operator,Not available,Less than one hour,0.5,yes,Nationwide,,,5.54,4.69,10.23,4.44,4.69,9.13
28944,2011_3Q,2011,2011.5,TZARWA,TZA,RWA,MoneyGram,Money Transfer Operator,Not available,Less than one hour,0.5,yes,Nationwide,,,6.779999999999999,6.25,13.03,4.93,6.25,11.18
28949,2011_3Q,2011,2011.5,TZARWA,TZA,RWA,Tanzania Postal Corporation,Post office,Not available,Next day,24.0,yes,Nationwide,,,8.629999999999999,4.69,13.32,5.919999999999999,4.69,10.61
28939,2011_3Q,2011,2011.5,TZARWA,TZA,RWA,Barclays,Bank,Not available,Next day,24.0,yes,Nationwide,,,17.5,4.69,22.19,6.999999999999999,4.69,11.69
28943,2011_3Q,2011,2011.5,TZARWA,TZA,RWA,KCB,Bank,Not available,2 days,48.0,yes,Nationwide,,,20.0,4.69,24.69,7.999999999999999,4.69,12.69
28945,2011_3Q,2011,2011.5,TZARWA,TZA,RWA,NBC,Bank,Not available,3-5 days,96.0,yes,Nationwide,,,25.0,4.69,29.69,10.0,4.69,14.69
28940,2011_3Q,2011,2011.5,TZARWA,TZA,RWA,CRDB Bank,Bank,Not available,2 days,48.0,yes,Nationwide,,,25.0,6.25,31.25,10.0,6.25,16.25
28946,2011_3Q,2011,2011.5,TZARWA,TZA,RWA,NMB (National Microfinance Bank),Non-Bank FI,Not available,3-5 days,96.0,yes,Nationwide,,,25.0,6.25,31.25,10.0,6.25,16.25
28947,2011_3Q,2011,2011.5,TZARWA,TZA,RWA,Stanbic Bank,Bank,Not available,2 days,48.0,yes,Nationwide,,,27.5,6.25,33.75,11.0,6.25,17.25
28941,2011_3Q,2011,2011.5,TZARWA,TZA,RWA,Exim Bank,Bank,Not available,2 days,48.0,yes,Nationwide,,,30.0,6.25,36.25,12.0,6.25,18.25
28950,2011_3Q,2011,2011.5,TZARWA,TZA,RWA,Twiga Bancorp,Bank,Not available,Next day,24.0,yes,Nationwide,,,30.0,6.25,36.25,12.0,6.25,18.25
